,Job Title,Job Type,Company Name,Posted Date,Cities,States,Stipend,Start Date,Duration,Numer of Openings,Late date to apply
470,DAY NULM,Full Time,city municipal council mulbagal,16-05-2024,Mulbagal,Karnataka,1666 /month,Immediately,3 Months,1,27-09-2024
471,DAYNULM INTERNS,Part Time,Ullal CMC,16-05-2024,Mangalore,Karnataka,2500 /month,Immediately,2 Months,3,16-05-2024
472,DAY NULM INTERN,Virtual Internship,TOWN MUNICIPAL COUNCIL MOODUBIDIRE,16-05-2024,Moodbidri,Karnataka,5000 /month,Immediately,12 Weeks,2,16-05-2024
473,DAY NULM AND PMSVANIDHI,Full Time,Ullal CMC,16-05-2024,Mangalore,Karnataka,2500 /month,Immediately,2 Months,3,21-05-2024
474,PMSVANIDHI AND DAYNULM INTERN,Part Time,Kotekar Town Panchayath,16-05-2024,Kotekar,Karnataka,2500 /month,Immediately,6 Months,1,31-05-2024
475,DAY-NULM/PM SVANIDHI INTERN,Part Time,"TMC Someshwar ,Dakshina kannnada district",17-05-2024,Someshwar,Karnataka,5000 /month,Immediately,3 Months,1,18-05-2024
476,DAY NULM AND PMSVANIDHI,Part Time,Mulki Town Panchayath,17-05-2024,Mulki,Karnataka,2500 /month,Immediately,2 Months,1,30-05-2024
477,DAY-NULM PROJECT MANAGEMENT INTERN,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,5000 /month,Immediately,3 Months,1,31-05-2024
478,PM SVANIDHI INTERNSHIP,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
479,SHG- CAPACITY BUILDING INTERN,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
480,PM SVANIDHI SOCIO ECONOMIC SURVEY,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
481,PM SVANIDHI SOCIO ECONOMIC SURVEY,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
482,PM SVANIDHI SOCIO ECONOMIC SURVEY,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
483,SHG- CAPACITY BUILDING INTERN,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
484,SHG- CAPACITY BUILDING INTERN,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
485,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
486,PM SVANIDHI SOCIO ECONOMIC SURVEY,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
487,SHG- CAPACITY BUILDING INTERN,Part Time,kalaburagi Mahanagara Palike,18-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
488,SHG- CAPACITY BUILDING INTERN,Full Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
489,PMSVANIDHI AND DAYNULM INTERN,Part Time,"TMC Someshwar ,Dakshina kannnada district",20-05-2024,Someshwar,Karnataka,5000 /month,Immediately,12 Weeks,1,25-05-2024
490,PM SVANIDHI,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
491,PM SVANIDHI,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
492,SHELTER FOR URBAN HOMELESS,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
493,PMSVANIDHI INTERN,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
494,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
495,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
496,SELF HELP GROUP,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
497,SELF HELP GROUP,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
498,PM SVANIDHI SOCIO ECONOMIC SURVEY,Full Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
499,PM SVANIDHI,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
500,SELF HELP GROUP,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
501,SHELTER FOR URBAN HOMELESS,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
502,PM SVANIDHI,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
503,SELF EMPLOYMENT PROGRAMME DAY NULM,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
504,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
505,PM SVANIDHI SOCIO ECONOMIC SURVEY,Full Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
506,SELF HELP GROUP,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
507,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
508,"THE MEANING OF SELF-EMPLOYED IS EARNING INCOME DIRECTLY FROM ONE'S OWN BUSINESS,",Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
509,SOCIO ECONOMIC SAMPLE SURVEY OF PMSVANIDHI BENEFICIARIES,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
510,SHG- CAPACITY BUILDING INTERN,Part Time,kalaburagi Mahanagara Palike,20-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
511,DEENDAYAL ANTYODAYA YOJANE NULM,Part Time,Kinnigoli Town Panchayath,21-05-2024,Mangalore,Karnataka,2500 /month,Immediately,2 Months,2,30-05-2024
512,SELF HELP GROUP,Part Time,kalaburagi Mahanagara Palike,21-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
513,DEENDAYAL ANTYODAYA YOJANE NULM,Part Time,Mulki Town Panchayath,21-05-2024,Mulki,Karnataka,2500 /month,Immediately,2 Months,1,30-05-2024
514,SELF HELP GROUP,Part Time,kalaburagi Mahanagara Palike,22-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,4,31-05-2024
515,DAY-NULM,Part Time,Mulki Town Panchayath,22-05-2024,Mulki,Karnataka,2500 /month,Immediately,2 Months,1,30-05-2024
516,DEENDAYAL ANTYODAYA YOJANE NULM,Part Time,Vitla Town Panchayath,22-05-2024,Vitla,Karnataka,2500 /month,Immediately,2 Months,1,31-08-2024
517,29. INTERNSHIP OPPORTUNITY WITH MUNICIPAL CORPORATION CHANDIGARH FOR STUDENTS AND ALUMNI FROM MASS COMMUNICATIONS OR PUBLIC RELATIONS OR SIMILAR BACKGROUND,Full Time,Municipal Corporation Chandigarh,22-05-2024,Chandigarh,Chandigarh,10000 /month,Immediately,3 Months,1,15-06-2024
518,DEENDAYAL ANTYODAYA YOJANE NULM,Part Time,Sullia Town Panchayath,22-05-2024,Sullia,Karnataka,2500 /month,Immediately,2 Months,1,29-05-2024
519,30 INTERNSHIP OPPORTUNITY WITH MUNICIPAL CORPORATION CHANDIGARH FOR STUDENTS AND ALUMNI FROM SOCIAL WORK OR COMMUNITY DEVELOPMENT OR SOCIAL WELFARE AND PUBLIC ADMINISTRATION OR SIMILAR BACKGROUND,Full Time,Municipal Corporation Chandigarh,22-05-2024,Chandigarh,Chandigarh,10000 /month,Immediately,3 Months,1,15-06-2024
520,31 INTERNSHIP OPPORTUNITY WITH MUNICIPAL CORPORATION CHANDIGARH FOR STUDENTS AND ALUMNI FOR NULM VERTICAL,Full Time,Municipal Corporation Chandigarh,22-05-2024,Chandigarh,Chandigarh,10000 /month,Immediately,3 Months,1,15-06-2024
521,DAY NULM INTERNS,Part Time,Mulki Town Panchayath,22-05-2024,Mulki,Karnataka,2500 /month,Immediately,2 Months,1,29-05-2024
522,DEENDAYAL ANTYODAYA YOJANE NULM,Part Time,TOWN MUNICIPAL COUNCIL MOODUBIDIRE,23-05-2024,Moodbidri,Karnataka,2500 /month,Immediately,2 Months,2,28-05-2024
523,LIVELIHOOD AND SKILL DEVELOPMENT -TULIP,Full Time,"Urban Local Body, Rahatgarh",23-05-2024,Sagar,Madhya Pradesh,Unpaid,Immediately,2 Months,1,30-05-2024
524,"DAY NULM INTERN CMC, CHIKKABALLAPUR",Full Time,CITY MUNICIPAL COUNCIL CHICKBALLAPUR,24-05-2024,Chikkaballapur,Karnataka,1666 /month,Immediately,3 Months,5,03-06-2024
525,DAYNULM-TMC BAGEPALLI,Full Time,Municipal Admin,24-05-2024,Bagepalli,Karnataka,1666 /month,Immediately,3 Months,2,03-06-2024
526,DAYNULM INTERN,Full Time,Town Municipal Council Hungund,24-05-2024,Hungund,Karnataka,5000 /month,Immediately,3 Months,1,04-06-2024
527,SELF HELP GROUP,Part Time,kalaburagi Mahanagara Palike,27-05-2024,Gulbarga,Karnataka,Unpaid,Immediately,3 Months,5,31-05-2024
528,DAY NULM INTERNS,Part Time,Bantwal TMC,28-05-2024,Bantwal,Karnataka,5000 /month,Immediately,6 Months,1,01-06-2024
529,INTERSHIP UNDER DAY NULM,Full Time,Nagar Nigam Jaipur Heritage,28-05-2024,Jaipur,Rajasthan,12000 /month,Immediately,6 Months,4,07-06-2024
530,DAY NULM,Full Time,CITY MUNICIPAL COUNCIL Harihara,29-05-2024,Harihar,Karnataka,1666 /month,Immediately,12 Weeks,8,05-10-2024
531,SELF HELP GROUP SEP SUSV SMID,Full Time,TIRURANGADI MUNICIPALITY,30-05-2024,Malappuram,Kerala,Unpaid,Immediately,2 Months,1,12-06-2024
532,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES,",Full Time,KAYAMKULAM MUNICIPALITY,06-06-2024,Alleppey,Kerala,8000 /month,Immediately,2 Months,3,30-07-2024
533,TULIP INTERNS UNDER DAY-NULM PROGRAMME,Full Time,TOWN PANCHAYATH ALUR,06-06-2024,Alur,Karnataka,1666 /month,Immediately,3 Months,1,07-06-2024
534,DAYNULM INTERNS SOCIAL MOBILISATION AND INSTITUITIONAL DEVELOPMENT SEP SELF EMPLOYMENT PROGRAMME STREET VENDING,Full Time,CHERTHALA MUNICIPALITY,06-06-2024,Shertallai,Kerala,8000 /month,Immediately,2 Months,3,08-08-2024
535,SELF EMPLOYMENT PROGRAMME GROUP,Part Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,14-06-2024
536,CAPACITY BUILDING TRAINING SEP,Full Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,03-01-2025
537,CITY LEVEL FEDERATION,Full Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,03-01-2025
538,CAPACITY BUILDING TRAINING SM&ID,Full Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,03-01-2025
539,EXPLOSURE VISIT,Part Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,14-06-2024
540,PM SVANIDHI,Part Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,14-06-2024
541,SVANIDHI SE SAMRUDDHI,Full Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,14-06-2024
542,DAY NULM ENTERPRENEURSHIP DEVELOPMENT,Full Time,Town Panchayath Arkalagudu,07-06-2024,Arkalgudu,Karnataka,1666 /month,Immediately,3 Months,1,12-06-2024
543,SUPPORT TO STREET VENDORS CAPACITY BUILDING TRAINING,Full Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,03-01-2025
544,EMPLOYMENT AND SKILL TRAINING PROGRAMME,Full Time,City Municipal Council Bhadravathi,07-06-2024,Bhadravati,Karnataka,1666 /month,Immediately,3 Months,1,03-01-2025
545,DAYNULM INTERN,Full Time,Nilambur Municipality,10-06-2024,Nilambar,Kerala,8000 /month,Immediately,2 Months,3,28-06-2024
546,"NULM TULIP INTERN- SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,STREET VENDING,SELF EMPLOYMENT PROGRAMMES.",Full Time,NEDUMANGAD MUNICIPALITY,10-06-2024,Thiruvananthapuram,Kerala,8000 /month,Immediately,2 Months,3,30-06-2024
547,A STUDY ON DAY-NULM COMPONENTS,Full Time,MALAPPURAM MUNICIPALITY,11-06-2024,Malappuram,Kerala,8000 /month,Immediately,2 Months,3,04-11-2024
548,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Full Time,Chalakudy Municipality,11-06-2024,Trichar,Kerala,8000 /month,Immediately,2 Months,3,29-07-2024
549,"DAY NULM IMPACT STUDY ON SMID, SEP, EST&P, SUSV AND SUH PROGRAMME",Full Time,Valanchery municipality,11-06-2024,Malappuram,Kerala,8000 /month,Immediately,2 Months,3,17-07-2024
550,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Full Time,PERINTHALMANNA MUNICIPALITY,11-06-2024,Perintalmanna,Kerala,8000 /month,Immediately,2 Months,3,17-07-2024
551,"NULM TULIP INTERN- SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT, SELF EMPLOYEMENT PROGRAMME, STREET VENDORS",Full Time,Perumbavoor Municipality,11-06-2024,Kochi,Kerala,8000 /month,Immediately,2 Months,3,10-07-2024
552,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP, SUSV & SUH",Full Time,Chalakudy Municipality,11-06-2024,Trichar,Kerala,8000 /month,Immediately,2 Months,3,03-07-2024
553,DAY-NULM IRINJALAKUDA,Full Time,Irinjalakuda Municipality,11-06-2024,Irinjalakuda,Kerala,8000 /month,Immediately,2 Months,2,25-07-2024
554,DAY NULM PALAKKAD,Full Time,PALAKKAD MUNICIPALITY,11-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,3,30-06-2024
555,IMPACT OF SKILLS AND LIVELIHOOD UNDER DAY-NULM ON CITY LEVEL,Full Time,CHITTUR THATHAMANGALAM MUNICIPALITY,12-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,20-06-2024
556,IMPACT OF SOCIAL MOBILISATION AND INSTITUTION DEVELOPMENT UNDER DAY-NULM ON CITY LEVEL,Full Time,CHITTUR THATHAMANGALAM MUNICIPALITY,12-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,20-06-2024
557,IMPACT OF SUPPORT TO URBAN STREET VENDORS UNDER DAY-NULM  ON CITY LEVEL,Full Time,CHITTUR THATHAMANGALAM MUNICIPALITY,12-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,09-07-2024
558,IMPACT OF DAY-NULM ON CITY LEVEL,Full Time,CHERPULASSERY MUNICIPALITY,13-06-2024,Shoranur,Kerala,8000 /month,Immediately,2 Months,3,20-06-2024
559,DAYNULM INTERN,Full Time,Eloor Muncipality,13-06-2024,All,Kerala,8000 /month,Immediately,2 Months,3,31-07-2024
560,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Full Time,Kanhangad Municipality,14-06-2024,Kanhangad,Kerala,8000 /month,Immediately,2 Months,3,31-07-2024
561,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,Irinjalakuda Municipality,15-06-2024,Irinjalakuda,Kerala,8000 /month,Immediately,2 Months,3,10-07-2024
562,CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,KONDOTTY MUNICIPALITY,15-06-2024,Malappuram,Kerala,8000 /month,Immediately,8 Weeks,4,11-07-2024
563,CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,KOTTAKKAL MUNICIPALITY,15-06-2024,Malappuram,Kerala,8000 /month,Immediately,8 Weeks,3,29-07-2024
564,SELF HELP GROUP SEP SUSV SMID,Full Time,TIRURANGADI MUNICIPALITY,15-06-2024,Malappuram,Kerala,8000 /month,Immediately,2 Months,3,07-07-2024
565,DAY NULM INTERNS,Full Time,TP Sargur,15-06-2024,Mysore,Karnataka,1667 /month,Immediately,3 Months,1,06-07-2024
566,"NULM INTERNSHIP - STUDY ON SMID, SEP & ESTP",Full Time,Chavakkad Municipality,18-06-2024,Chavakkad,Kerala,8000 /month,Immediately,2 Months,1,17-08-2024
567,NULM - SOCIAL MOBILISATION AND INSTITUTION BUILDING,Full Time,Pala Municipality,18-06-2024,Kottayam,Kerala,8000 /month,Immediately,2 Months,2,28-07-2024
568,NULM INTERNSHIP - STUDY ON UPRP & MODEL CDS,Full Time,Chavakkad Municipality,18-06-2024,Chavakkad,Kerala,8000 /month,Immediately,2 Months,1,17-08-2024
569,NULM-SUPPORT FOR URBAN STREET VENDORS,Full Time,Pala Municipality,18-06-2024,Kottayam,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
570,NULM - SELF EMPLOYMENT PROGRAM,Full Time,Pala Municipality,18-06-2024,Kottayam,Kerala,8000 /month,Immediately,2 Months,1,28-07-2024
571,"NULM INTERNSHIP - STUDY ON SMID, SEP & ESTP KUNNAMKULAM",Full Time,MUNICIPALITY,18-06-2024,Kunnamkulam,Kerala,8000 /month,Immediately,2 Months,1,17-08-2024
572,NULM-:SOCIAL MOBILISATION AND INSTITUTION BUILDING,Full Time,ERATTUPETTA MUNICIPALITY,18-06-2024,Kottayam,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
573,NULM-:SUPPORT FOR URBAN STREET VENDORS,Full Time,ERATTUPETTA MUNICIPALITY,18-06-2024,Kottayam,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
574,NULM-:SELF EMPLOYMENT PROGRAM,Full Time,ERATTUPETTA MUNICIPALITY,18-06-2024,Kottayam,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
575,NULM INTERNSHIP - STUDY ON UPRP KUNNAMKULAM,Full Time,MUNICIPALITY,18-06-2024,Kunnamkulam,Kerala,8000 /month,Immediately,2 Months,1,17-08-2024
576,IMPACT ON SM AND ID UNDER DAY NULM ON CITY LEVEL,Full Time,PATTAMBI MUNICIPALITY,18-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,31-07-2024
577,TULIP INTERN - DAYNULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Full Time,Ottappalam Municipality,18-06-2024,Ottappalam,Kerala,8000 /month,Immediately,2 Months,1,09-07-2024
578,IMPACT ON SEP UNDER DAY NULM ON CITY LEVEL,Full Time,PATTAMBI MUNICIPALITY,18-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,31-07-2024
579,IMPACT ON SUSV UNDER DAY NULM ON CITY LEVEL,Full Time,PATTAMBI MUNICIPALITY,18-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,31-07-2024
580,TULIP INTERN DAYNULM -SELF EMPLOYMENT PROGRAMME,Full Time,Ottappalam Municipality,18-06-2024,Ottappalam,Kerala,8000 /month,Immediately,2 Months,1,09-07-2024
581,TULIP INTERN DAYNULM -STREET VENDING,Full Time,Ottappalam Municipality,18-06-2024,Ottappalam,Kerala,8000 /month,Immediately,2 Months,1,09-07-2024
582,STUDY ON STREET VENDOR,Full Time,Town Panchayat Tavaragera,18-06-2024,Tavaragera,Karnataka,3000 /month,Immediately,3 Months,5,21-07-2024
583,DAY-NULM INTERN SHIP ON SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT IN PONNANI MUNICIPALITY,Full Time,Ponnani Municipality,18-06-2024,Ponnani,Kerala,8000 /month,Immediately,2 Months,1,24-07-2024
584,DAY-NULM IMPACT STUDY ON SELF EPLOYMENT PROGRAMME AND LINKAGE LOAN SCHEMES,Full Time,Ponnani Municipality,18-06-2024,Ponnani,Kerala,8000 /month,Immediately,2 Months,1,27-07-2024
585,DAY-NULM,Full Time,Thrikkakara Municipality,19-06-2024,Kochi,Kerala,8000 /month,Immediately,2 Months,3,25-07-2024
586,IMPACT ON SM AND ID UNDER DAY NULM ON CITY LEVEL,Full Time,Shoranur Municipality,19-06-2024,ShÃ…Âranar,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
587,IMPACT ON SEP UNDER DAY NULM ON CITY LEVEL,Full Time,Shoranur Municipality,19-06-2024,ShÃ…Âranar,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
588,IMPACT ON SUSV UNDER DAY NULM ON CITY LEVEL,Full Time,Shoranur Municipality,19-06-2024,ShÃ…Âranar,Kerala,8000 /month,Immediately,2 Months,1,05-09-2024
589,DEENDAYAL ANTYODAYA YOJANE NULM,Full Time,Town Panchayath Kanakagiri,19-06-2024,Kanakagiri,Karnataka,1667 /month,Immediately,3 Months,5,27-06-2024
590,DAY NULM INTERNS,Full Time,City Municipal Council,19-06-2024,Hassan,Karnataka,1666 /month,Immediately,3 Months,1,20-06-2024
591,CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,TANUR MUNICIPALITY,19-06-2024,Malappuram,Kerala,8000 /month,Immediately,8 Weeks,3,17-07-2024
592,DAY NULM-TULIP INTERNSHIP PROGRAMME IN KODUNGALLUR MUNICIPALITY,Full Time,Kodungallur Municipality,19-06-2024,Kodungallar,Kerala,8000 /month,Immediately,2 Months,2,30-06-2024
593,DAY NULM - TULIP INTERNSHIP PROGRAMME IN KODUNGALLUR MUNICIPALITY,Full Time,Kodungallur Municipality,19-06-2024,Kodungallar,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
594,STUDY ON WOMEN ENTREPRENEURSHIP - NULM,Full Time,Kochi Municipal Corporation,19-06-2024,Ernakulam,Kerala,8000 /month,Immediately,2 Months,1,01-08-2024
595,STUDY ON KUDUMBASHREE ORGANIZATION - NULM,Full Time,Kochi Municipal Corporation,19-06-2024,Ernakulam,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
596,DAY NULM TULIP INTERNSHIP IN NORTH PARAVUR MUNICIPALITY,Full Time,North Paravur Municipality,19-06-2024,Kochi,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
597,DAY NULM TULIP INTERNSHIP IN NORTH PARAVUR MUNICIPALITY,Full Time,North Paravur Municipality,19-06-2024,Kochi,Kerala,8000 /month,Immediately,2 Months,1,30-06-2024
598,CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,Tirur Municipal office,20-06-2024,Tirur,Kerala,8000 /month,Immediately,8 Weeks,2,23-07-2024
599,CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,Tirur Municipal office,20-06-2024,Tirur,Kerala,8000 /month,Immediately,8 Weeks,1,24-07-2024
600,TULIP INTERN - DAYNULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Full Time,Mannarkkad Municipality,20-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,17-07-2024
601,DAYNULM INTERNS SOCIAL MOBILISATION AND INSTITUITIONAL DEVELOPMENT SEP SELF EMPLOYMENT PROGRAMME STREET VENDING,Full Time,ANTHOOR MUNICIPALITY,20-06-2024,Cannanore,Kerala,8000 /month,Immediately,2 Months,1,05-08-2024
602,TULIP INTERN DAYNULM -SELF EMPLOYMENT PROGRAMME,Full Time,Mannarkkad Municipality,20-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,17-07-2024
603,TULIP INTERN DAYNULM -STREET VENDING,Full Time,Mannarkkad Municipality,20-06-2024,Palghat,Kerala,8000 /month,Immediately,2 Months,1,17-07-2024
604,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,ANTHOOR MUNICIPALITY,20-06-2024,Cannanore,Kerala,8000 /month,Immediately,2 Months,1,05-08-2024
605,STREET VENDOR,Full Time,ANTHOOR MUNICIPALITY,20-06-2024,Cannanore,Kerala,8000 /month,Immediately,2 Months,1,05-08-2024
606,DAY NULM INTERNSHIP IN WAAKKANCHERY MUNICIPALITY,Full Time,Wadakkanchery Municipality,20-06-2024,Trichar,Kerala,8000 /month,Immediately,2 Months,1,05-07-2024
607,DAYNULM INTERNS SOCIAL MOBILISATION AND INSTITUITIONAL DEVELOPMENT SEP SELF EMPLOYMENT PROGRAMME STREET VENDING,Full Time,Payyannur Municipality,20-06-2024,Cannanore,Kerala,8000 /month,Immediately,2 Months,1,08-08-2024
608,DAY NULM- SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,Payyannur Municipality,21-06-2024,Cannanore,Kerala,8000 /month,Immediately,2 Months,1,08-08-2024
609,NULM- STUDY ON STREET VENDOR,Full Time,Payyannur Municipality,21-06-2024,Cannanore,Kerala,8000 /month,Immediately,2 Months,1,08-08-2024
610,NULM INTERNSHIP - IMPACT OF NULM SMID SCHEME IN WOMEN NHGS,Full Time,Neyyattinkara Municipality,21-06-2024,Neyyattinkara,Kerala,8000 /month,Immediately,2 Months,1,07-07-2024
611,SMID-IMPACT OF ADS REVOLVING FUND IN ADS AND NHG ACTIVITIES.,Full Time,Thripunithura Municipality,21-06-2024,Tripunittura,Kerala,8000 /month,Immediately,2 Months,1,29-06-2024
612,SEP- STUDY ON MICRO ENTERPRISE FORMED UNDER NULM -SEP & PMFME -IMPACT ON THEIR LIVELIHOOD,Full Time,Thripunithura Municipality,21-06-2024,Tripunittura,Kerala,8000 /month,Immediately,2 Months,1,29-06-2024
